じんめんじゅうしん,人面獣身,9,
せいうんしゅうげつ,青雲秋月,9,
せいりょくぜつりん,精力絶倫,9,
せっちゅうそうたん,雪中送炭,9,
せんきゃくばんらい,千客万来,9,
せんしゅうばんざい,千秋万歳,9,
せんしょうらんけい,僣賞濫刑,9,
せんしんていしょう,浅斟低唱,9,
せんぽうひゃっけい,先方百計,9,
そうかんぼくじょう,桑間濮上,9,
そうぎょうしゅせい,創業守成,9,
そうせきちんりゅう,漱石枕流,9,
そくりょぎょうしん,息慮凝心,9,
そっちょくにいうと,率直に言うと,9,
たいがんじょうじゅ,大願成就,9,
たいぎゅうだんきん,対牛弾琴,9,
だいさんせいりょく,第三勢力,9,
たばになってかかる,束になってかかる,9,
ちゅうげんちくろく,中原逐鹿,9,
ちゅうもんをつける,注文を付ける,9,
ちゅうもんをつける,注文をつける,9,
ちょうちょうこうど,超超高度,9,
ちょうちょうはっし,丁々発止,9,
ちょうちんたいきん,長枕大衾,9,
ちょうもんいっしん,頂門一針,9,
ちょうゆうこうがん,朝有紅顔,9,
てっしんせきちょう,鉄心石腸,9,
てっちゅうそうそう,鉄中錚々,9,
てをかえしなをかえ,手を替え品を替え,9,
てんこうこくしょく,天香国色,9,
てんじょうむきゅう,天壌無窮,9,
てんちちょうきゅう,天地長久,9,
どうしてかといえば,どうしてかといえば,9,
どうびょうそうりん,同病相隣,9,
どくしょひゃっぱん,読書百遍,9,
とくろうぼうしょく,得隴望蜀,9,
とりいんふるえんざ,鳥インフルエンザ,9,
なんぎょうくぎょう,難行苦行,9,
なんでかといったら,何でかといったら,9,
にじゅういっせいき,２１世紀,9,
にちじょうさはんじ,日常茶飯事,9,
にひきめのどじょう,二匹目のどじょう,9,
にまんすうせんえん,二万数千円,9,
にんぎょうをつかう,人形を使う,9,
にんぎょうをつかう,人形を遣う,9,
ねんがらねんじゅう,年がら年中,9,
はくいんぼうしょう,博引旁証,9,
はくしゃせいしょう,白砂青松,9,
はくちゅうしゅくき,伯仲叔季,9,
はっぷんぼうしょく,発憤忘食,9,
はなのごにんしゅう,花の５人衆,9,
はなもひっかけない,はなも引っ掛けない,9,
はんぶんじょくれい,繁文縟礼,9,
ひぼうちゅうちょう,誹謗中傷,9,
ひゃくせきかんとう,百尺竿頭,9,
ひゃくはちじゅうど,１８０度,9,
ひゃくはちじゅうど,百八十度,9,
ひゃくはちぼんのう,百八煩悩,9,
ひゃくぶんいっけん,百聞一見,9,
ひゃくもくいちげん,百黙一言,9,
ひゃっかりょうらん,百花繚乱,9,
ひょうたんそうあい,氷炭相愛,9,
ふうぜんのともしび,風前のともしび,9,
ふおうせいひんけつ,不応性貧血,9,
ふくりょうほうすい,伏竜鳳雛,9,
ふしゃくしんみょう,不惜身命,9,
ぶつじょうそうぜん,物情騒然,9,
ぷろふぇっしょなる,プロフェッショナル,9,
